CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
552775081,08/27/2009,09:44:00,,,08/27/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,122.0,INSIDE,,,,939941.0,160196.0,40.606274769,-74.159575505,"(40.606274769, -74.159575505)"
893441141,09/29/2007,21:17:00,,,08/12/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,44.0,OUTSIDE,,,,1007715.0,241546.0,40.829640499,-73.915211145,"(40.829640499, -73.915211145)"
701070277,08/24/2009,13:07:00,,,08/24/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,101.0,INSIDE,,,,1043389.0,154070.0,40.589373635,-73.787072546,"(40.589373635, -73.787072546)"
482983483,08/24/2009,05:03:00,,,08/24/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,47.0,INSIDE,,,,1023969.0,267333.0,40.900359775,-73.856324894,"(40.900359775, -73.856324894)"
102122312,08/23/2009,22:24:00,,,08/23/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,40.0,OUTSIDE,,,,1009720.0,234676.0,40.810778739,-73.90799219600001,"(40.810778739, -73.907992196)"
595935034,08/23/2009,17:53:00,,,08/23/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,71.0,OUTSIDE,,,,997098.0,181757.0,40.665556595,-73.953689664,"(40.665556595, -73.953689664)"
717731610,08/23/2009,04:29:00,,,08/23/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,9.0,OUTSIDE,,,,989622.0,205257.0,40.73006632,-73.980618842,"(40.73006632, -73.980618842)"
771757945,08/22/2009,04:30:00,,,08/22/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,1.0,OUTSIDE,,,,983098.0,196350.0,40.705620295,-74.00415643,"(40.705620295, -74.00415643)"
723433792,08/22/2009,00:12:00,,,08/22/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,75.0,OUTSIDE,,,,1019908.0,184675.0,40.673503366,-73.871453598,"(40.673503366, -73.871453598)"
736797279,08/21/2009,03:20:00,,,08/21/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. HOUSING POLICE,QUEENS,101.0,OUTSIDE,,,,1044075.0,156299.0,40.595487172,-73.78458289,"(40.595487172, -73.78458289)"
351846408,08/20/2009,22:22:00,,,08/20/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,77.0,OUTSIDE,,,,1001111.0,183920.0,40.671486815,-73.939219036,"(40.671486815, -73.939219036)"
416506654,08/19/2009,21:50:00,,,08/19/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,70.0,OUTSIDE,,,,995957.0,177431.0,40.653684258,-73.957810011,"(40.653684258, -73.957810011)"
286619394,08/19/2009,10:00:00,,,08/19/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,110.0,OUTSIDE,,,,1022647.0,211410.0,40.746873059,-73.861426996,"(40.746873059, -73.861426996)"
215662811,08/18/2009,19:32:00,,,08/18/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,23.0,OUTSIDE,,,,999481.0,226053.0,40.787134539,-73.944999678,"(40.787134539, -73.944999678)"
839162636,08/17/2009,17:50:00,,,08/17/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,115.0,INSIDE,,,,1016054.0,214240.0,40.754666857,-73.88520766399999,"(40.754666857, -73.885207664)"
849429932,08/17/2009,00:32:00,,,08/17/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,47.0,OUTSIDE,,,,1025542.0,258276.0,40.875493968,-73.850690692,"(40.875493968, -73.850690692)"
362529986,08/15/2009,09:41:00,,,08/15/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,62.0,OUTSIDE,,,,983236.0,164081.0,40.617049019,-74.003653839,"(40.617049019, -74.003653839)"
377210120,08/15/2009,02:15:00,,,08/15/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,75.0,OUTSIDE,,,,1018415.0,182525.0,40.667607989000004,-73.876846784,"(40.667607989, -73.876846784)"
420517182,08/12/2009,15:29:00,,,08/12/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,83.0,INSIDE,,,,1001951.0,195081.0,40.702119560999996,-73.936161591,"(40.702119561, -73.936161591)"
497359690,08/08/2009,18:11:00,,,08/08/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,114.0,OUTSIDE,,,,1002149.0,216666.0,40.761364687,-73.935390074,"(40.761364687, -73.935390074)"
993146842,08/08/2009,15:47:00,,,08/08/2009,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,61.0,OUTSIDE,,,,1004719.0,152383.0,40.584916805,-73.926308159,"(40.584916805, -73.926308159)"
