526 MORRIS AVENUE 10451
111 AVENUE C 10009
695 9TH AVE 10036
713 86 STREET 11228
3352 FULTON ST 11208
493 3 AVENUE 10016
1180 FOREST AVE 10310
4219 COLLEGE POINT BLVD 11355
641 10TH AVE 10036
608 NOSTRAND AVE 11216
341 SAINT NICHOLAS AVE 11385
10 COLUMBUS CIRCLE 10019
1914 NOSTRAND AVENUE 11226
837 MANHATTAN AVENUE 11222
3720 30 AVENUE 11103
90 3RD AVE 10003
1501 PITKIN AVE 11212
2401 29 STREET 11102
15301 10TH AVE 11357
361 E 138TH ST 10454
4446 MAIN STREET 10307
13347 ROOSEVELT AVE 11354
5807 5TH AVE 11220
2029 GRAND CONCOURSE 10453
478 ROCKAWAY AVE 11212
4316 BROADWAY 10033
888 8 AVENUE 10019
35 WHITE ST 10013
5627 61ST ST 11378
930 2ND AVE 10022
4718 WHITE PLAINS ROAD 10470
47 EAST BROADWAY 10002
346 MALCOLM X BLVD 11233
207 WEST   38 STREET 10018
28 LITTLE WEST   12 STREET 10014
4521 AVENUE N 11234
401 GREENWICH STREET 10013
2538 PITKIN AVENUE 11208
71 7TH AVE 11217
232 E 53RD ST 10022
297 BROADWAY 11211
5824 8 AVENUE 11220
5201 5 AVENUE 11220
6321 8 AVENUE 11220
4736 BELL BLVD 11361
266 WEST   47 STREET 10036
1 BATTERY PARK PLAZA 10004
840 2 AVENUE 10017
85 SMITH STREET 11201
1719 PITKIN AVE 11212
2102 EASTCHESTER RD 10461
2124 NOSTRAND AVENUE 11210
96 EAST  161 STREET 10451
1322 BROADWAY 11221
94179419 3 AVENUE 11209
31 WEST   43 STREET 10036
212 PATCHEN AVE 11233
938 4 AVENUE 11232
1359 1 AVENUE 10021
288 3 AVENUE 11215
10709 ROCKAWAY BOULEVARD 11417
323 CHURCH STREET 10013
18-20 1 AVENUE 10009
244 GRAND STREET 11211
750 6 AVENUE 10010
687 5TH AVE 11215
14908 41ST AVE 11355
2556 CONEY ISLAND AVE 11223
354 METROPOLITAN AVENUE 11211
2 PENN STATION 10001
150 GREAVES LANE 10308
3052-3078 W 21ST ST 11224
4207 MAIN ST 11355
4103 162ND ST 11358
823 CASTLETON AVE 10310
516 NOSTRAND AVENUE 11216
290 BRIGHTON BEACH AVENUE 11235
8774B BAY PARKWAY 11214
6132 SPRINGFIELD BOULEVARD 11364
227 SULLIVAN STREET 10012
374 8TH AVE 10001
1048 BEDFORD AVENUE 11205
20 CHRISTOPHER ST 10014
12620 ROCKAWAY BOULEVARD 11420
9106 JAMAICA AVENUE 11421
703 LYDIG AVE 10462
6301 8TH AVENUE 11220
4959 BROADWAY 10034
1446 1ST AVE 10021
33 CROSBY ST 10013
174 BEDFORD AVENUE 11249
226 WEST HOUSTON STREET 10014
236 WEST   52 STREET 10019
110 KENT AVE 11249
88 DIVISION ST 10002
3 HANOVER SQUARE 10004
4127 162ND ST 11358
401 6TH AVE 10014
420 LEXINGTON AVENUE 10017
119 SULLIVAN STREET 10012
46 WYCKOFF AVE 11237
1955 86 STREET 11214
2026 CONEY ISLAND AVE 11223
230 PARK AVE 10169
208 VARICK STREET 10014
145 ATLANTIC AVENUE 11201
0 PENN STATION 10001
16405 89TH AVE 11432
1 NEW YORK PLZ 10004
849 PROSPECT AVENUE 10459
1 JFK INTL AIRPORT BLVD 11430
722 FLATBUSH AVENUE 11225
357 1ST AVE 10010
7706 NEW UTRECHT AVE 11214
44B NEW LOTS AVE 11212
507A EAST 163 STREET 10451
4117 UNION STREET 11355
5425 5TH AVE 11220
168 WEST   25 STREET 10001
1021 OGDEN AVENUE 10452
3811 EAST TREMONT AVENUE 10465
222 SMITH STREET 11231
24 9 AVENUE 10014
5705 5 AVENUE 11220
17649 UNION TURNPIKE 11366
9 WEST   57 STREET 10019
924 MANHATTAN AVE 11222
342 E 47TH ST 10017
59 AUDUBON AVE 10032
700 8TH AVE 10036
5920 FORT HAMILTON PKWY 11219
142 FRANKLIN STREET 11222
300 SCHERMERHORN ST 11217
2715 BROADWAY 10025
800 GRAND ST 11211
564 EAST NEW YORK AVENUE 11225
2367 8 AVENUE 10027
4223 BELL BOULEVARD 11361
12 JOHN STREET 10038
805 SOUNDVIEW AVENUE 10473
